id;type_document;type_ressource;date_publication;titre_document;url_fichier
34322;Bilans et rapports;Document;2024-02-20;Situation mensuelle de l'état - Janvier 2024;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2024_01.pdf
34358;Bilans et rapports;Document;2023-03-21;Situation mensuelle de l'état - Février 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_02.pdf
34412;Bilans et rapports;Document;2021-11-23;Situation mensuelle de l'état - Octobre 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_10.pdf
34469;Bilans et rapports;Document;2020-05-25;Situation mensuelle de l'état - Avril 2020;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2020_04.pdf
34616;Bilans et rapports;Document;2016-06-21;Situation mensuelle de l'état - Mai 2016;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2016_05.pdf
34664;Bilans et rapports;Document;2016-01-20;Situation mensuelle de l'état - Décembre (provisoire) 2015;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2015_12.pdf
34649;Bilans et rapports;Document;2015-08-18;Situation mensuelle de l'état - Juillet 2015;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2015_07.pdf
34808;Bilans et rapports;Document;2011-09-22;Situation mensuelle de l'état - Août 2011;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2011_08.pdf
34844;Bilans et rapports;Document;2010-08-18;Situation mensuelle de l'état - Juillet 2010;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2010_07.pdf
34835;Bilans et rapports;Document;2010-05-26;Situation mensuelle de l'état - Avril 2010;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2010_04.pdf
121673;Bilans et rapports;Document;2025-02-12;Situation mensuelle de l'Etat - Octobre 2025;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/sme_2025-10.pdf
117078;Bilans et rapports;Document;2025-02-07;Situation mensuelle de l'Etat - Mai 2025;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/sme_2025-05.pdf
116470;Bilans et rapports;Document;2025-03-06;Situation mensuelle de l'état - Avril 2025;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/sme_2025-04.pdf
34421;Bilans et rapports;Document;2021-08-20;Situation mensuelle de l'état - Juillet 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_07.pdf
34637;Bilans et rapports;Document;2015-04-28;Situation mensuelle de l'état - Mars 2015;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2015_03.pdf
34670;Bilans et rapports;Document;2014-02-21;Situation mensuelle de l'état - Janvier 2014;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2014_01.pdf
34856;Bilans et rapports;Document;2010-12-15;Situation mensuelle de l'état - Novembre 2010;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2010_11.pdf
34310;Bilans et rapports;Document;2024-06-20;Situation mensuelle de l'état - Mai 2024;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2024_05.pdf
34346;Bilans et rapports;Document;2023-07-20;Situation mensuelle de l'état - Juin 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_06.pdf
34385;Bilans et rapports;Document;2022-07-22;Situation mensuelle de l'état - Juin 2022;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2022_06.pdf
34478;Bilans et rapports;Document;2020-02-20;Situation mensuelle de l'état - Janvier 2020;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2020_01.pdf
34496;Bilans et rapports;Document;2019-08-20;Situation mensuelle de l'état - Juillet 2019;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2019_07.pdf
34610;Bilans et rapports;Document;2016-08-18;Situation mensuelle de l'état - Juillet 2016;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2016_07.pdf
34625;Bilans et rapports;Document;2016-08-04;Situation mensuelle de l'état - Février 2016;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2016_02.pdf
34763;Bilans et rapports;Document;2012-07-19;Situation mensuelle de l'état - Juin 2012;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2012_06.pdf
34757;Bilans et rapports;Document;2012-05-23;Situation mensuelle de l'état - Avril 2012;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2012_04.pdf
34481;Bilans et rapports;Document;2020-01-22;Situation mensuelle de l'état - Décembre 2019;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2019_12.pdf
34832;Bilans et rapports;Document;2010-04-29;Situation mensuelle de l'état - Mars 2010;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2010_03.pdf
34337;Bilans et rapports;Document;2023-10-20;Situation mensuelle de l'état - Septembre 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_09.pdf
34418;Bilans et rapports;Document;2021-09-21;Situation mensuelle de l'état - Août 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_08.pdf
34520;Bilans et rapports;Document;2019-01-21;Situation mensuelle de l'état - Décembre (provisoire) 2018;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2018_12.pdf
34556;Bilans et rapports;Document;2018-04-24;Situation mensuelle de l'état - Décembre 2017;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2017_12_definitive.pdf
34775;Bilans et rapports;Document;2012-11-22;Situation mensuelle de l'état - Octobre 2012;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2012_10.pdf
34841;Bilans et rapports;Document;2010-08-13;Situation mensuelle de l'état - Juin 2010;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2010_06.pdf
34838;Bilans et rapports;Document;2010-06-21;Situation mensuelle de l'état - Mai 2010;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2010_05.pdf
34361;Bilans et rapports;Document;2023-02-21;Situation mensuelle de l'état - Janvier 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_01.pdf
34424;Bilans et rapports;Document;2021-07-21;Situation mensuelle de l'état - Juin 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_06.pdf
34529;Bilans et rapports;Document;2018-10-23;Situation mensuelle de l'état - Septembre 2018;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2018_09.pdf
34571;Bilans et rapports;Document;2017-09-21;Situation mensuelle de l'état - Août 2017;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2017_08.pdf
34691;Bilans et rapports;Document;2014-09-23;Situation mensuelle de l'état - Août 2014;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2014_08.pdf
34679;Bilans et rapports;Document;2014-05-21;Situation mensuelle de l'état - Avril 2014;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2014_04.pdf
34754;Bilans et rapports;Document;2012-04-24;Situation mensuelle de l'état - Mars 2012;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2012_03.pdf
34391;Bilans et rapports;Document;2022-05-20;Situation mensuelle de l'état - Avril 2022;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2022_04.pdf
34331;Bilans et rapports;Document;2023-12-21;Situation mensuelle de l'état - Novembre 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_11.pdf
34343;Bilans et rapports;Document;2023-08-21;Situation mensuelle de l'état - Juillet 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_07.pdf
34394;Bilans et rapports;Document;2022-04-22;Situation mensuelle de l'état - Mars 2022;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2022_03.pdf
34403;Bilans et rapports;Document;2022-03-31;Situation mensuelle de l'état - Décembre 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_12_definitive.pdf
34598;Bilans et rapports;Document;2016-12-20;Situation mensuelle de l'état - Novembre 2016;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2016_11.pdf
34655;Bilans et rapports;Document;2015-10-20;Situation mensuelle de l'état - Septembre 2015;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2015_09.pdf
34853;Bilans et rapports;Document;2010-11-17;Situation mensuelle de l'état - Octobre 2010;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2010_10.pdf
34298;Bilans et rapports;Document;2024-10-21;Situation mensuelle de l'état - Septembre 2024;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2024_09.pdf
34340;Bilans et rapports;Document;2023-09-21;Situation mensuelle de l'état - Août 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_08.pdf
34436;Bilans et rapports;Document;2021-03-19;Situation mensuelle de l'état - Février 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_02.pdf
34490;Bilans et rapports;Document;2019-10-21;Situation mensuelle de l'état - Septembre 2019;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2019_09.pdf
34505;Bilans et rapports;Document;2019-05-22;Situation mensuelle de l'état - Avril 2019;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2019_04.pdf
34565;Bilans et rapports;Document;2017-11-20;Situation mensuelle de l'état - Octobre 2017;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2017_10.pdf
34574;Bilans et rapports;Document;2017-08-18;Situation mensuelle de l'état - Juillet 2017;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2017_07.pdf
34601;Bilans et rapports;Document;2016-11-22;Situation mensuelle de l'état - Octobre 2016;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2016_10.pdf
34709;Bilans et rapports;Document;2013-02-25;Situation mensuelle de l'état - Janvier 2013;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2013_01.pdf
34397;Bilans et rapports;Document;2022-03-21;Situation mensuelle de l'état - Février 2022;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2022_02.pdf
34427;Bilans et rapports;Document;2021-06-21;Situation mensuelle de l'état - Mai 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_05.pdf
34433;Bilans et rapports;Document;2021-04-22;Situation mensuelle de l'état - Mars 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_03.pdf
34472;Bilans et rapports;Document;2020-04-20;Situation mensuelle de l'état - Mars 2020;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2020_03.pdf
34502;Bilans et rapports;Document;2019-06-21;Situation mensuelle de l'état - Mai 2019;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2019_05.pdf
34508;Bilans et rapports;Document;2019-04-19;Situation mensuelle de l'état - Mars 2019;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2019_03.pdf
34352;Bilans et rapports;Document;2023-05-22;Situation mensuelle de l'état - Avril 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_04.pdf
34409;Bilans et rapports;Document;2021-12-20;Situation mensuelle de l'état - Novembre 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_11.pdf
34442;Bilans et rapports;Document;2021-06-04;Situation mensuelle de l'état - Décembre 2020;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2020_12_definitive.pdf
34493;Bilans et rapports;Document;2019-09-17;Situation mensuelle de l'état - Août 2019;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2019_08.pdf
34541;Bilans et rapports;Document;2018-06-22;Situation mensuelle de l'état - Mai 2018;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2018_05.pdf
34766;Bilans et rapports;Document;2012-08-17;Situation mensuelle de l'état - Juillet 2012;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2012_07.pdf
34805;Bilans et rapports;Document;2011-08-17;Situation mensuelle de l'état - Juillet 2011;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2011_07.pdf
34802;Bilans et rapports;Document;2011-07-20;Situation mensuelle de l'état - Juin 2011;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2011_06.pdf
34799;Bilans et rapports;Document;2011-06-17;Situation mensuelle de l'état - Mai 2011;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2011_05.pdf
34859;Bilans et rapports;Document;2011-01-21;Situation mensuelle de l'état - Décembre 2010;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2010_12.pdf
34334;Bilans et rapports;Document;2023-11-21;Situation mensuelle de l'état - Octobre 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_10.pdf
34379;Bilans et rapports;Document;2022-09-20;Situation mensuelle de l'état - Août 2022;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2022_08.pdf
34514;Bilans et rapports;Document;2019-07-03;Situation mensuelle de l'état - Janvier 2019;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2019_01.pdf
34613;Bilans et rapports;Document;2016-07-21;Situation mensuelle de l'état - Juin 2016;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2016_06.pdf
34661;Bilans et rapports;Document;2015-12-22;Situation mensuelle de l'état - Novembre 2015;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2015_11.pdf
120280;Bilans et rapports;Document;2025-02-10;Situation mensuelle de l'Etat - Août 2025;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/sme_2025-08.pdf
34307;Bilans et rapports;Document;2024-07-19;Situation mensuelle de l'état - Juin 2024;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2024_06.pdf
34523;Bilans et rapports;Document;2018-12-20;Situation mensuelle de l'état - Novembre 2018;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2018_11.pdf
34706;Bilans et rapports;Document;2015-04-29;Situation mensuelle de l'état - Décembre 2014;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2014_12_definitive.pdf
34745;Bilans et rapports;Document;2014-06-05;Situation mensuelle de l'état - Décembre 2013;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2013_12_definitive.pdf
34718;Bilans et rapports;Document;2013-05-22;Situation mensuelle de l'état - Avril 2013;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2013_04.pdf
34772;Bilans et rapports;Document;2012-10-17;Situation mensuelle de l'état - Septembre 2012;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2012_09.pdf
34364;Bilans et rapports;Document;2023-03-30;Situation mensuelle de l'état - Décembre 2022;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2022_12_definitive.pdf
34370;Bilans et rapports;Document;2022-12-20;Situation mensuelle de l'état - Novembre 2022;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2022_11.pdf
34406;Bilans et rapports;Document;2022-01-28;Situation mensuelle de l'état - Décembre (provisoire) 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_12_provisoire.pdf
34439;Bilans et rapports;Document;2021-02-19;Situation mensuelle de l'état - Janvier 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_01.pdf
34577;Bilans et rapports;Document;2017-07-21;Situation mensuelle de l'état - Juin 2017;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2017_06.pdf
34727;Bilans et rapports;Document;2013-08-21;Situation mensuelle de l'état - Juillet 2013;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2013_07.pdf
34712;Bilans et rapports;Document;2013-02-04;Situation mensuelle de l'état - Février 2013;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2013_02.pdf
34814;Bilans et rapports;Document;2011-12-12;Situation mensuelle de l'état - Octobre 2011;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2011_10.pdf
119049;Bilans et rapports;Document;2025-05-08;Situation mensuelle de l'État - Juin 2025;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/sme_2025-06.pdf
34283;Bilans et rapports;Document;2025-03-21;Situation mensuelle de l'état - Février 2025;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2025_02.pdf
34694;Bilans et rapports;Document;2014-10-21;Situation mensuelle de l'état - Septembre 2014;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2014_09.pdf
34688;Bilans et rapports;Document;2014-08-20;Situation mensuelle de l'état - Juillet 2014;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2014_07.pdf
34673;Bilans et rapports;Document;2014-03-21;Situation mensuelle de l'état - Février 2014;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2014_02.pdf
34811;Bilans et rapports;Document;2011-10-19;Situation mensuelle de l'état - Septembre 2011;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2011_09.pdf
34793;Bilans et rapports;Document;2011-04-18;Situation mensuelle de l'état - Mars 2011;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2011_03.pdf
